Filename,Transcription,polarity
nJijPNZmMsY.mp3,E assim foi.,0.0
a63FupDnI14.mp3,"Em nome do Pai, do Filho e do Espírito Santo, amém. Meus queridos irmãos e irmãs, na homilia de hoje, gostaria de fazer uma preparação para amanhã, Quarta-feira de Cinzas, início da nossa santa Quaresma. Veja, é importante nós entrarmos na pedagogia de santidade que a Igreja nos propõe com o ano litúrgico.",0.0
6CxSxA2JvM4.mp3,"Amanhã, dia 19 de março, espero você para uma transmissão em que nós iremos falar a respeito do aborto na constituição francesa. Qual é a origem ideológica, espiritual, sociológica dessa realidade? Vamos fazer uma reflexão que vai ser substanciosa para que você entenda o mundo modelo.",0.0
4wKZg4qCr60.mp3,E assim foi.,0.0
lTbZ-FDlmhU.mp3,"Em nome do Pai, do Filho e do Espírito Santo, amém. Meus queridos irmãos e irmãs, iniciamos o tempo da Quaresma, um tempo de mortificação. O que quer dizer isso? Um tempo de nós fazermos morte. Mortificar quer dizer isso. Mas por que?",0.0
DxtHndFdaOk.mp3,"Em nome do Pai, do Filho e do Espírito Santo. Amém. Meus queridos irmãos e irmãs, na oitava de Páscoa, a Igreja se dedica a meditar nas várias aparições do Senhor ressuscitado. E o Evangelho de hoje é a continuidade do Evangelho de ontem. Ontem vimos os discípulos de Emmaus, agora os discípulos retornam,",0.0
K81oNLEg77Y.mp3,"Pelo sinal da Santa Cruz, livrai-nos Deus nosso Senhor dos nossos inimigos em nome do Pai e do Filho e do Espírito Santo. Amém. Divino Jesus, eu vos ofereço este terço que vou rezar contemplando os mistérios de nossa redenção.",0.0
OvPcyx0vMGc.mp3,"Em nome do Pai, do Filho e do Espírito Santo, amém. Meus queridos irmãos e irmãs, no Evangelho de hoje, Jesus entra numa controvérsia mais uma vez. Ou seja, as pessoas ficam admiradas da forma como os discípulos de Jesus se comportam. E diante do contraste daquilo que são os discípulos dos fariseus, dos discípulos de",0.0
WeFoXxidmIw.mp3,"No início de 1400, a China tinha tecnologia, conhecimento, dinheiro, para fazer muito mais do que os portugueses fizeram. Para você ter ideia, esse é o prólogo.",0.0
d9tBxziuWUc.mp3,"Pelo sinal da Santa Cruz, livrai-nos Deus nosso Senhor dos nossos inimigos em nome do Pai e do Filho e do Espírito Santo. Amém. Divino Jesus, eu vos ofereço este terço que vou rezar contemplando os mistérios de nossa redenção.",0.0
Uv1-IjlhJRU.mp3,"Pelo sinal da Santa Cruz, livrai-nos Deus nosso Senhor dos nossos inimigos em nome do Pai e do Filho e do Espírito Santo. Amém. Divino Jesus, eu vos ofereço este terço que vou rezar contemplando os mistérios de nossa redenção.",0.0
